,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality,type,Fraud,acid_balance_ratio,sulfur_preservation_index,ph_volatile_interaction,low_sulfur_indicator,acidity_sugar_balance
0,7.4,0.7,0.0,1.9,0.076,11.0,34.0,0.9978,3.51,0.56,9.4,Legit,False,0,0.09459459459459459,1.8864844365675972,2.457,1,7.607700118513601
1,7.8,0.88,0.0,2.6,0.098,25.0,67.0,0.9968,3.2,0.68,9.8,Legit,False,0,0.11282051282051282,3.0542361089076304,2.8160000000000003,1,6.776306232168384
2,7.8,0.76,0.04,2.3,0.092,15.0,54.0,0.997,3.26,0.65,9.8,Legit,False,0,0.09743589743589744,2.041241452319315,2.4776,1,7.169644785186179
3,11.2,0.28,0.56,1.9,0.075,17.0,60.0,0.998,3.16,0.58,9.8,Legit,False,0,0.025000000000000005,2.1946905628508695,0.8848000000000001,1,10.782271279078534
4,7.4,0.7,0.0,1.9,0.076,11.0,34.0,0.9978,3.51,0.56,9.4,Legit,False,0,0.09459459459459459,1.8864844365675972,2.457,1,7.607700118513601
5,7.4,0.66,0.0,1.8,0.075,13.0,40.0,0.9978,3.51,0.56,9.4,Legit,False,0,0.0891891891891892,2.0554804791094465,2.3165999999999998,1,7.828135197825111
6,7.9,0.6,0.06,1.6,0.069,15.0,59.0,0.9964,3.3,0.46,9.4,Legit,False,0,0.07594936708860758,1.952833664712358,1.9799999999999998,1,8.895759484865128
7,7.3,0.65,0.0,1.2,0.065,15.0,21.0,0.9946,3.39,0.47,10.0,Legit,False,0,0.08904109589041097,3.2732683535398857,2.2035,1,10.08298025948679
8,7.8,0.58,0.02,2.0,0.073,9.0,18.0,0.9968,3.36,0.57,9.5,Legit,False,0,0.07435897435897436,2.121320343559643,1.9487999999999999,1,7.627804719132896
9,7.5,0.5,0.36,6.1,0.071,17.0,102.0,0.9978,3.35,0.8,10.5,Legit,False,0,0.06666666666666667,1.6832508230603465,1.675,1,4.081435278084527
10,6.7,0.58,0.08,1.8,0.0969999999999999,15.0,65.0,0.9959,3.28,0.54,9.2,Legit,False,0,0.08656716417910447,1.860521018838127,1.9023999999999996,1,7.070573727067842
11,7.5,0.5,0.36,6.1,0.071,17.0,102.0,0.9978,3.35,0.8,10.5,Legit,False,0,0.06666666666666667,1.6832508230603465,1.675,1,4.081435278084527
12,5.6,0.615,0.0,1.6,0.089,16.0,59.0,0.9943,3.58,0.52,9.9,Legit,False,0,0.10982142857142858,2.083022575693182,2.2017,1,6.504370023345501
